City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Oranjestad,12.524,-70.027,84.15,74,40,19.57,scattered clouds
327,Tsiroanomandidy,-18.7667,46.0333,58.15,55,42,1.54,scattered clouds
328,Mahebourg,-20.4081,57.7,73.69,64,40,9.22,scattered clouds
329,Polovinnoye,54.7914,65.9864,46.13,82,69,11.83,broken clouds
330,Houma,29.5958,-90.7195,87.8,75,75,14.97,broken clouds
331,Alice Springs,-23.7,133.8833,47.75,100,100,5.75,moderate rain
332,Tura,25.5198,90.2201,73.26,96,15,4.76,few clouds
333,Fairbanks,64.8378,-147.7164,77.59,23,0,3.44,clear sky
334,Yefremov,53.1481,38.0992,56.93,95,49,6.91,scattered clouds
335,Saqqez,36.2499,46.2735,58.57,60,39,1.45,scattered clouds
336,Sotnikovo,51.8845,107.4791,48.29,93,40,2.24,scattered clouds
337,Grafton,42.207,-71.6856,71.51,62,0,9.22,clear sky
338,Ilam,26.9167,87.9167,69.3,86,81,2.01,broken clouds
339,Marrakesh,31.6315,-8.0083,71.67,53,0,8.05,clear sky
340,Acapulco,16.8634,-99.8901,85.82,62,100,5.75,overcast clouds
341,Khani,41.9563,42.9566,58.57,77,96,5.88,overcast clouds
342,Kloulklubed,7.0419,134.2556,77.5,76,89,10.16,overcast clouds
343,Lodja,-3.4833,23.4333,72.54,72,23,0.63,few clouds
344,Katsuura,35.1333,140.3,68.47,79,54,14.0,broken clouds
345,Atherton,53.5237,-2.4935,51.35,88,12,1.99,light rain
346,Djenne,13.9061,-4.5533,93.33,32,66,8.16,broken clouds
347,Dauphin,51.1494,-100.0502,60.94,33,20,24.16,few clouds
348,Champasak,14.75,106.0,73.49,99,87,1.81,overcast clouds
349,Solnechnyy,50.7214,136.6319,48.88,99,100,4.56,heavy intensity rain
350,College,64.8569,-147.8028,77.58,23,75,3.44,broken clouds
351,Usinsk,65.9939,57.5281,47.17,64,19,10.0,few clouds
352,Ulladulla,-35.35,150.4667,44.76,60,1,18.48,clear sky
353,Blackstone,42.0179,-71.5412,71.78,62,0,5.75,clear sky
354,Montgomery,39.1501,-77.1997,94.59,55,75,6.91,broken clouds
355,Asau,46.4333,26.4,59.95,100,70,2.55,broken clouds
356,Hirara,24.8,125.2833,82.26,94,75,11.5,broken clouds
357,Jacareacanga,-6.2222,-57.7528,80.02,68,92,2.64,overcast clouds
358,Jinchang,38.4953,102.1739,62.78,26,29,2.73,scattered clouds
359,Dawei,14.0833,98.2,76.46,92,100,1.19,overcast clouds
360,Cap Malheureux,-19.9842,57.6142,73.47,58,53,8.99,broken clouds
361,Pangody,65.85,74.4859,39.88,70,1,17.74,clear sky
362,Brigantine,39.4101,-74.3646,92.08,49,0,11.5,clear sky
363,Gorontalo,0.5412,123.0595,74.26,92,8,2.39,clear sky
364,Abnub,27.2696,31.1511,83.97,26,0,19.84,clear sky
365,Tuy Hoa,13.0833,109.3,77.54,89,23,4.47,few clouds
366,Tamandare,-8.7597,-35.1047,76.77,86,6,5.06,clear sky
367,Mohgaon,21.65,78.7167,91.67,26,98,5.28,overcast clouds
368,Banda Aceh,5.5577,95.3222,79.29,79,98,15.32,overcast clouds
369,Aberdeen,57.1437,-2.0981,50.49,95,75,5.75,broken clouds
370,Kandrian,-6.2167,149.55,77.59,86,83,8.08,broken clouds
371,Ossora,59.2353,163.0719,42.93,75,99,8.28,overcast clouds
372,Taltal,-25.4,-70.4833,56.75,81,20,1.32,few clouds
373,Westlock,54.1502,-113.8688,62.42,34,37,4.9,scattered clouds
374,Wajir,1.7471,40.0573,78.03,63,41,16.93,scattered clouds
